X,Y,WEATHER_STATIONS_ID,STATION_CODE,STATION_NAME,STATION_ACRONYM,LATITUDE,LONGITUDE,ELEVATION,INSTALL_DATE,OBJECTID
-119.726959609604,50.4972282632688,48,1359,STATION BAY 2,,50.497222,-119.726944,1100,2019/05/29 22:00:00+00,965153
-126.032713176732,49.6102274792074,49,1362,TS BURMAN,,49.610222,-126.032697,77,2019/07/02 22:00:00+00,965154
-122.281126574314,49.8744501335404,50,1375,FRANK CREEK,FCT,49.874444,-122.281111,305,2019/05/22 22:00:00+00,965155
-130.678380340248,56.7116436792129,51,1377,FORRESTKERR,,56.711639,-130.678361,276,2019/07/14 22:00:00+00,965156
-127.079627413266,50.2678107739609,52,1378,TS ATLUCK,,50.267806,-127.079611,462,2019/07/15 22:00:00+00,965157
-124.758071333142,49.4038943230281,53,1383,CHEF CREEK TEST,,49.403889,-124.758056,456,2019/08/14 22:00:00+00,965158
-126.94833458162,54.8012382904062,54,182,GANOKWA,FGK,54.801233,-126.948317,844,1993/12/31 23:00:00+00,965159
-122.595766654743,53.4112836343005,55,187,HIXON,FHX,53.411278,-122.59575,615,1988/12/11 23:00:00+00,965160
-123.608794654137,53.4937835055899,56,189,CHILAKO,FCK,53.493778,-123.608778,814,1991/07/03 22:00:00+00,965161
-122.105516610385,53.5259503007708,57,190,JERRY,FJR,53.525944,-122.1055,997,1991/08/16 22:00:00+00,965162
-120.152793977466,53.2948394406816,58,195,MCBRIDE,FMR,53.294833,-120.152778,714,1980/08/12 22:00:00+00,965163
-120.858460806875,53.5764504622138,59,199,CATFISH,FCF,53.576444,-120.858444,866,1994/04/27 22:00:00+00,965164
-123.350016476214,52.5422279083372,60,206,TAUTRI,FTT,52.542222,-123.35,1085,1990/08/10 22:00:00+00,965165
-120.99763565534,51.2377759480049,61,235,YOUNG LAKE,FYK,51.23777,-120.99762,1170,2001/08/02 22:00:00+00,965166
-121.716682521863,51.3750058672117,62,236,MEADOW LAKE,FML,51.375,-121.716667,1070,1988/11/01 23:00:00+00,965167
-119.881698461063,51.2531390824695,63,243,EAST BARRIERE,FBR,51.253133,-119.881683,631,1989/02/23 23:00:00+00,965168
-120.650015727864,51.6700060096953,64,244,WINDY MOUNTAIN,FWM,51.67,-120.65,1580,1992/05/09 22:00:00+00,965169
-119.113365402438,51.5226731875849,65,250,HARBOUR LAKE,FHL,51.522667,-119.11335,1525,1992/07/20 22:00:00+00,965170
-119.838332344079,50.8878890692637,66,253,CAHILTY,FCY,50.887883,-119.838317,1543,1989/10/10 22:00:00+00,965171
-121.513349488806,52.6150059428335,67,255,LIKELY RS,FLK,52.615,-121.513333,1046,1991/03/21 23:00:00+00,965172
-121.761683156573,53.261672635679,68,262,BIG VALLEY,FBG,53.261667,-121.761667,1355,1991/03/26 23:00:00+00,965173
-120.985016020465,52.391672699491,69,264,PRAIRIE CREEK,FPR,52.391667,-120.985,1015,1990/05/30 22:00:00+00,965174
-119.413398900789,51.9787728733725,70,267,BERRY,FBE,51.978767,-119.413383,1469,1990/07/26 22:00:00+00,965175
-120.866065191523,49.7151558903676,71,279,THYNNE,FTH,49.71515,-120.86605,1407,1990/06/06 22:00:00+00,965176
-117.05711498077,51.435706426492,72,866,BLAEBERRY,FEB,51.4357,-117.0571,861,2004/05/31 22:00:00+00,965177
-117.957792758548,50.7650062832523,73,873,CRAWFORD,FCO,50.765,-117.957778,887,2004/07/29 22:00:00+00,965178
-119.002865184214,50.8634731670464,74,882,SICAMOUS,FIC,50.863467,-119.00285,1115,2004/09/27 22:00:00+00,965179
-123.109282686103,50.1443366477183,75,896,CALLAGHAN VALLEY (EC),VOD,50.144331,-123.109267,869,2005/05/04 22:00:00+00,965180
